,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,73.4,53,20,3.44,US,1613019222
1,mys shmidta,27.0167,75,72.34,25,0,5.21,IN,1613019222
2,nawa,68.1214,13.5031,31.06,86,94,9.28,NO,1613019223
3,gravdal,-54.8,-68.3,64.4,48,40,14.97,AR,1613019174
4,ushuaia,43.2128,-75.4557,17.01,73,90,1.41,US,1613018996
5,roma,42.097,-79.2353,18,86,90,5.75,US,1613019223
6,jamestown,58.3807,12.3234,19.4,85,90,13.8,SE,1613019223
7,lawar,-34.4187,19.2345,66.99,88,4,5.99,ZA,1613019065
8,vanersborg,22.6783,-3.9836,60.57,27,0,9.82,ML,1613019224
9,hermanus,-31.5375,-68.5364,74.43,44,14,5.14,AR,1613019224
10,,6.1241,81.1185,82.4,69,40,6.91,LK,1613019224
11,,-33.0117,17.9442,60.8,82,0,3.44,ZA,1613019224
12,,68.2191,-135.0107,-25.6,75,0,4.61,CA,1613019224
13,,13.5167,35.7667,71.4,32,76,2.82,SD,1613019225
14,,-46.1333,167.6833,51.44,84,100,11.99,NZ,1613019056
15,,-34.1833,150.6,89.01,43,2,1.99,AU,1613019225
16,,-38.0023,-57.5575,68,88,90,16.11,AR,1613019091
17,,-20.4081,57.7,82.99,66,85,8.99,MU,1613019168
18,,22.8909,-109.9124,64.4,77,1,3.44,MX,1613019225
19,,-21.2,-175.2,84.2,79,20,13.8,TO,1613019129
20,,-5.1989,-35.4608,80.6,78,20,9.22,BR,1613019142
21,,41.7597,86.1469,40.91,58,96,6.38,CN,1613019226
22,,5.4112,100.3354,88,83,40,2.39,MY,1613018976
23,,71.9167,114.0833,-20.92,84,0,6.31,RU,1613019226
24,,-40.8135,-62.9967,64.99,84,21,17.58,AR,1613019194
25,,-22.6667,167.4833,76.77,81,0,14.61,NC,1613019226
26,,68.0531,39.5131,0.97,92,55,12.44,RU,1613019227
27,,9.285,105.7244,82,66,97,15.77,VN,1613019227
28,,-37.6167,-73.65,58.91,97,9,9.66,CL,1613019227
29,,47.5999,-53.2648,19.4,73,90,25.32,CA,1613019227
30,,44.5833,129.4167,25.86,95,100,1.79,CN,1613019227
31,,-6.8367,-79.9342,72,87,60,1.99,PE,1613019227
32,,32.7933,12.4885,59.74,79,0,11.88,LY,1613019228
33,,43.3376,-6.4145,52,93,75,4.61,ES,1613019228
34,,-46.1927,168.8643,51.44,79,100,11.5,NZ,1613019119
35,,66.8333,70.8333,-19.34,87,98,15.03,RU,1613019121
36,,71.2906,-156.7887,-41.8,83,1,10.36,US,1613019228
37,,60.4167,134.5333,5.04,93,99,3.65,RU,1613019228
38,,25.5198,90.2201,78.58,28,0,3.4,IN,1613019229
39,,72.7868,-56.1549,-1.61,90,94,9.98,GL,1613019229
